"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"Jeff Green, Kosta Koufos, Marc Gasol, Nick Calathes, Vince Carter","MEM",6,299,124,4
"Alan Anderson, Bojan Bogdanovic, Brook Lopez, Jarrett Jack, Thaddeus Young","BKN",5,318,125,5
"Alan Anderson, Brook Lopez, Jarrett Jack, Joe Johnson, Mirza Teletovic","BKN",5,24,126,0
"Andre Iguodala, Andrew Bogut, Draymond Green, Leandro Barbosa, Stephen Curry","GSW",5,905,127,15
"Andre Iguodala, Andrew Bogut, Harrison Barnes, Shaun Livingston, Stephen Curry","GSW",5,205,128,3
"Andre Iguodala, David Lee, Draymond Green, Leandro Barbosa, Stephen Curry","GSW",5,194,129,3
"Andre Iguodala, David Lee, Harrison Barnes, Shaun Livingston, Stephen Curry","GSW",5,350,130,5
"Andre Iguodala, Draymond Green, Klay Thompson, Leandro Barbosa, Shaun Livingston","GSW",5,406,131,6
"Andre Iguodala, Draymond Green, Leandro Barbosa, Shaun Livingston, Stephen Curry","GSW",5,429,132,7
"Austin Rivers, DeAndre Jordan, Glen Davis, Jamal Crawford, Matt Barnes","LAC",5,386,133,6
"Avery Bradley, Brandon Bass, Isaiah Thomas, Jae Crowder, Jared Sullinger","BOS",5,208,134,3
"Avery Bradley, Evan Turner, Isaiah Thomas, Jared Sullinger, Jonas Jerebko","BOS",5,105,135,1
"Bojan Bogdanovic, Brook Lopez, Deron Williams, Jarrett Jack, Joe Johnson","BKN",5,590,136,9
"Bradley Beal, John Wall, Kevin Seraphin, Nene, Otto Porter Jr.","WAS",5,482,137,8
"CJ McCollum, Damian Lillard, Meyers Leonard, Nicolas Batum, Robin Lopez","POR",5,993,138,16
"CJ McCollum, LaMarcus Aldridge, Meyers Leonard, Nicolas Batum, Steve Blake","POR",5,303,139,5
"Courtney Lee, Jeff Green, Marc Gasol, Vince Carter, Zach Randolph","MEM",5,181,140,3
"Courtney Lee, Jeff Green, Mike Conley, Tony Allen, Zach Randolph","MEM",5,220,141,3
"Dante Cunningham, Jrue Holiday, Norris Cole, Quincy Pondexter, Ryan Anderson","NOP",5,347,142,5
"DeMarre Carroll, Dennis Schroder, Kent Bazemore, Paul Millsap, Pero Antic","ATL",5,1743,143,29
"DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap, Pero Antic","ATL",5,2227,144,37
"Dennis Schroder, Kent Bazemore, Mike Muscala, Mike Scott, Shelvin Mack","ATL",5,149,145,2
"Deron Williams, Jarrett Jack, Joe Johnson, Mason Plumlee, Mirza Teletovic","BKN",5,150,146,2
"Derrick Rose, Kirk Hinrich, Mike Dunleavy, Nikola Mirotic, Taj Gibson","CHI",5,111,147,1
"Derrick Rose, Kirk Hinrich, Pau Gasol, Taj Gibson, Tony Snell","CHI",5,92,148,1
"Draymond Green, Festus Ezeli, Harrison Barnes, Shaun Livingston, Stephen Curry","GSW",5,85,149,1
"Drew Gooden, John Wall, Kevin Seraphin, Otto Porter Jr., Ramon Sessions","WAS",5,787,150,13
"Dwight Howard, James Harden, Jason Terry, Nick Johnson, Trevor Ariza","HOU",5,59,151,0
"Dwight Howard, James Harden, Pablo Prigioni, Terrence Jones, Trevor Ariza","HOU",5,707,152,11
"Evan Turner, Isaiah Thomas, Jae Crowder, Kelly Olynyk, Tyler Zeller","BOS",5,230,153,3
"Greg Stiemsma, Greivis Vasquez, James Johnson, Jonas Valanciunas, Terrence Ross","TOR",5,118,154,1
"Iman Shumpert, James Jones, JR Smith, Kyrie Irving, Tristan Thompson","CLE",5,1317,155,21
"Iman Shumpert, James Jones, JR Smith, LeBron James, Tristan Thompson","CLE",5,1310,156,21
"Iman Shumpert, JR Smith, Kyrie Irving, Matthew Dellavedova, Tristan Thompson","CLE",5,205,157,3
"Iman Shumpert, JR Smith, Kyrie Irving, Timofey Mozgov, Tristan Thompson","CLE",5,318,158,5
"Iman Shumpert, JR Smith, LeBron James, Matthew Dellavedova, Timofey Mozgov","CLE",5,1302,159,21
"Isaiah Thomas, Jae Crowder, Jonas Jerebko, Marcus Smart, Tyler Zeller","BOS",5,275,160,4
"James Jones, JR Smith, LeBron James, Mike Miller, Tristan Thompson","CLE",5,199,161,3
"James Jones, JR Smith, Matthew Dellavedova, Shawn Marion, Tristan Thompson","CLE",5,142,162,2
