Rk,Lineup,Lineup_2,Lineup_3,Lineup_4,Lineup_5,Tm,Season,G,MP,TM,OPP,Pace,FG,FGA,FG%,3P,3PA,3P%,EFG%,FT,FTA,FT%,PTS%
6724,T. Gibson,K. Hinrich,J. Noah,D. Rose,T. Snell,CHI,2014-15,1,1.2,2,2,82.3,1,1,0.5,0,0,0.5,0.5,-2,-2,0,0
6725,A. Afflalo,W. Chandler,D. Gallinari,J. Nelson,J. Nurkic,DEN,2014-15,1,0.3,0,1,72,0,0,0,0,0,0,0,0,0,0,0
6726,A. Afflalo,K. Faried,D. Gallinari,J. Hickson,J. Nelson,DEN,2014-15,2,3.5,7,7,96,0,-2,0,0,-2,0,0,0,-2,0.25,0
6727,B. Bass,P. Pressey,T. Prince,J. Sullinger,M. Thornton,BOS,2014-15,1,1.8,4,4,108.7,-2,-1,-0.667,0,1,-0.667,-0.667,4,6,0,0
6728,T. Prince,M. Smart,M. Thornton,G. Wallace,T. Zeller,BOS,2014-15,3,13.5,26,26,92.3,0,-2,0.039,0,0,0,0.043,0,-2,0.229,0
6729,A. Bogut,J. Holiday,D. Lee,S. Livingston,K. Thompson,GSW,2014-15,2,1.2,3,2,101.4,1,-2,1,0,0,1,1,-2,-2,0,0
6730,D. Cousins,B. McLemore,Q. Miller,R. Sessions,J. Thompson,SAC,2014-15,2,4.7,11,10,106.9,-2,2,-0.457,0,0,0,-0.457,4,2,0.5,0
6731,S. Curry,J. Holiday,D. Lee,B. Rush,M. Speights,GSW,2014-15,1,0.5,1,1,92.9,0,0,0,0,0,0,0,0,0,0,0
6732,A. Ajinça,A. Ajinça,D. Cunningham,Q. Pondexter,N. Wolters,NOP,2014-15,1,0.6,1,0,43.6,0,0,0,0,0,0,0,0,0,0,0
6733,A. Ajinça,D. Cunningham,A. Davis,T. Evans,Q. Pondexter,NOP,2014-15,6,13.9,26,33,101.9,-1,-3,0.022,-1,-3,0,0.005,3,4,-0.125,0
6734,A. Ajinça,D. Cunningham,A. Davis,E. Gordon,Q. Pondexter,NOP,2014-15,2,7.2,16,17,109.7,-1,2,-0.138,3,3,0.6,-0.038,-1,-1,0,0
