"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"Boris Diaw, Cory Joseph, Manu Ginobili, Marco Belinelli, Tim Duncan","SAS",26,1377,103,22
"Bradley Beal, John Wall, Marcin Gortat, Nene, Rasual Butler","WAS",26,2502,104,41
"Derrick Rose, Jimmy Butler, Joakim Noah, Pau Gasol, Tony Snell","CHI",26,7255,105,120
"Dwight Howard, James Harden, Jason Terry, Terrence Jones, Trevor Ariza","HOU",26,5075,106,84
"Elijah Millsap, Gordon Hayward, Rudy Gobert, Trevor Booker, Trey Burke","UTA",26,4324,107,72
"Kawhi Leonard, Manu Ginobili, Tiago Splitter, Tim Duncan, Tony Parker","SAS",26,1389,108,23
"Aaron Brooks, Jimmy Butler, Joakim Noah, Kirk Hinrich, Nikola Mirotic","CHI",25,1812,109,30
"Anthony Morrow, Jeremy Lamb, Kendrick Perkins, Nick Collison, Reggie Jackson","OKC",25,3624,110,60
"Aron Baynes, Boris Diaw, Cory Joseph, Manu Ginobili, Marco Belinelli","SAS",25,4424,111,73
"Bradley Beal, Drew Gooden, John Wall, Marcin Gortat, Otto Porter Jr.","WAS",25,4803,112,80
"Brook Lopez, Deron Williams, Joe Johnson, Markel Brown, Thaddeus Young","BKN",25,15365,113,256
"Danny Green, Kawhi Leonard, Marco Belinelli, Tim Duncan, Tony Parker","SAS",25,2057,114,34
"Donatas Motiejunas, Dwight Howard, Isaiah Canaan, James Harden, Trevor Ariza","HOU",25,3348,115,55
"JR Smith, Kevin Love, Kyrie Irving, LeBron James, Tristan Thompson","CLE",25,5250,116,87
"Anthony Davis, Austin Rivers, Jrue Holiday, Ryan Anderson, Tyreke Evans","NOP",24,3776,117,62
"Anthony Morrow, Dion Waiters, Enes Kanter, Nick Collison, Russell Westbrook","OKC",24,1914,118,31
"Anthony Morrow, Kendrick Perkins, Reggie Jackson, Russell Westbrook, Serge Ibaka","OKC",24,1875,119,31
"Aron Baynes, Boris Diaw, Cory Joseph, Danny Green, Kawhi Leonard","SAS",24,2421,120,40
"Aron Baynes, Boris Diaw, Danny Green, Manu Ginobili, Patty Mills","SAS",24,1224,121,20
"Aron Baynes, Boris Diaw, Manu Ginobili, Marco Belinelli, Patty Mills","SAS",24,3087,122,51
"Avery Bradley, Isaiah Thomas, Jae Crowder, Marcus Smart, Tyler Zeller","BOS",24,812,123,13
"Avery Bradley, Jared Sullinger, Jeff Green, Kelly Olynyk, Rajon Rondo","BOS",24,9682,124,161
"Ben McLemore, Carl Landry, Darren Collison, DeMarcus Cousins, Rudy Gay","SAC",24,3009,125,50
"Blake Griffin, Chris Paul, DeAndre Jordan, Hedo Turkoglu, JJ Redick","LAC",24,3874,126,64
"Bradley Beal, Drew Gooden, Kevin Seraphin, Ramon Sessions, Rasual Butler","WAS",24,1545,127,25
"Bradley Beal, John Wall, Nene, Paul Pierce, Rasual Butler","WAS",24,1844,128,30
"Chris Kaman, CJ McCollum, LaMarcus Aldridge, Nicolas Batum, Steve Blake","POR",24,1668,129,27
"Dante Exum, Derrick Favors, Enes Kanter, Gordon Hayward, Joe Ingles","UTA",24,4764,130,79
"Dwight Howard, Isaiah Canaan, James Harden, Terrence Jones, Trevor Ariza","HOU",24,1753,131,29
"Greivis Vasquez, Lou Williams, Patrick Patterson, Terrence Ross, Tyler Hansbrough","TOR",24,7921,132,132
"Iman Shumpert, Kyrie Irving, Matthew Dellavedova, Timofey Mozgov, Tristan Thompson","CLE",24,566,133,9
"Jimmy Butler, Kirk Hinrich, Mike Dunleavy, Pau Gasol, Taj Gibson","CHI",24,3156,134,52
"John Wall, Marcin Gortat, Nene, Paul Pierce, Rasual Butler","WAS",24,2213,135,36
"Kendrick Perkins, Kevin Durant, Reggie Jackson, Russell Westbrook, Serge Ibaka","OKC",24,1181,136,19
