"idGame","slugTeam","lineup","lineupStint","initialScoreTeam","initialScoreOpp","finalScoreTeam","finalScoreOpp","initialTime","finalTime","totalScoreTeam","totalScoreOpp","netScoreTeam","totalTime"
"41400102","BKN","Bojan Bogdanovic, Brook Lopez, Deron Williams, Joe Johnson, Thaddeus Young",0,0,0,11,19,0,346,11,19,-8,346
"41400102","ATL","DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap, Pero Antic",1,19,11,22,13,346,405,3,2,1,59
"41400102","BKN","Bojan Bogdanovic, Brook Lopez, Deron Williams, Joe Johnson, Mirza Teletovic",1,11,19,15,22,346,480,4,3,1,134
"41400102","ATL","DeMarre Carroll, Jeff Teague, Kent Bazemore, Paul Millsap, Pero Antic",2,22,13,22,15,405,480,0,2,-2,75
"41400102","BKN","Bojan Bogdanovic, Brook Lopez, Deron Williams, Joe Johnson, Thaddeus Young",2,15,22,15,22,480,553,0,0,0,73
"41400102","ATL","DeMarre Carroll, Dennis Schroder, Kent Bazemore, Paul Millsap, Pero Antic",3,22,15,22,15,480,553,0,0,0,73
"41400102","BKN","Alan Anderson, Brook Lopez, Deron Williams, Joe Johnson, Thaddeus Young",3,15,22,18,27,553,602,3,5,-2,49
"41400102","ATL","Al Horford, DeMarre Carroll, Dennis Schroder, Kent Bazemore, Paul Millsap",4,22,15,27,18,553,602,5,3,2,49
"41400102","BKN","Alan Anderson, Brook Lopez, Jarrett Jack, Joe Johnson, Thaddeus Young",4,18,27,18,27,602,602,0,0,0,0
"41400102","ATL","Al Horford, DeMarre Carroll, Dennis Schroder, Kent Bazemore, Mike Scott",5,27,18,27,18,602,608,0,0,0,6
"41400102","BKN","Alan Anderson, Brook Lopez, Jarrett Jack, Joe Johnson, Mason Plumlee",5,18,27,24,29,602,720,6,2,4,118
"41400102","ATL","Al Horford, Dennis Schroder, Kent Bazemore, Kyle Korver, Mike Scott",6,27,18,32,26,608,779,5,8,-3,171
"41400102","BKN","Alan Anderson, Bojan Bogdanovic, Brook Lopez, Jarrett Jack, Mason Plumlee",6,24,29,30,34,720,864,6,5,1,144
"41400102","ATL","Al Horford, Dennis Schroder, Kyle Korver, Mike Scott, Shelvin Mack",7,32,26,36,33,779,915,4,7,-3,136
"41400102","BKN","Alan Anderson, Bojan Bogdanovic, Jarrett Jack, Mason Plumlee, Thaddeus Young",7,30,34,40,36,864,1077,10,2,8,213
"41400102","ATL","Al Horford, Jeff Teague, Kyle Korver, Mike Scott, Shelvin Mack",8,36,33,36,40,915,1077,0,7,-7,162
