"namePlayer","idGame","slugTeam","totalPlusMinus","totalSecs"
"Matt Barnes","41400237","LAC",9,1296
"Matthew Dellavedova","41400302","CLE",9,2234
"Meyers Leonard","41400171","POR",9,977
"Mike Conley","41400222","MEM",9,1636
"Mike Dunleavy","41400215","CHI",9,2211
"Nick Calathes","41400174","MEM",9,1437
"Tiago Splitter","41400163","SAS",9,1034
"Tim Duncan","41400162","SAS",9,2641
"Tony Snell","41400122","CHI",9,801
"Vince Carter","41400223","MEM",9,799
"Zaza Pachulia","41400124","MIL",9,1346
"Andre Iguodala","41400401","GSW",8,1899
"Andrew Bogut","41400141","GSW",8,1815
"Andrew Bogut","41400226","GSW",8,1432
"Andrew Bogut","41400312","GSW",8,1840
"Bradley Beal","41400131","WAS",8,2854
"Bradley Beal","41400201","WAS",8,2387
"Clint Capela","41400154","HOU",8,269
"Dahntay Jones","41400163","LAC",8,298
"Derrick Rose","41400122","CHI",8,2285
"Draymond Green","41400226","GSW",8,1994
"Dwight Howard","41400235","HOU",8,1917
"E'Twaun Moore","41400126","CHI",8,257
"Ekpe Udoh","41400163","LAC",8,289
"Evan Turner","41400112","BOS",8,2010
"Harrison Barnes","41400405","GSW",8,1756
"Jamal Crawford","41400161","LAC",8,1354
"James Jones","41400215","CLE",8,412
"Jeff Green","41400171","MEM",8,1687
"Jeff Teague","41400303","ATL",8,2554
"Jimmy Butler","41400123","CHI",8,3181
"John Wall","41400133","WAS",8,2585
"Josh Smith","41400152","HOU",8,1543
"JR Smith","41400301","CLE",8,2147
"Kevin Seraphin","41400206","WAS",8,1703
"Klay Thompson","41400225","GSW",8,2318
"Kosta Koufos","41400223","MEM",8,925
"Kyrie Irving","41400114","CLE",8,2597
"Matt Barnes","41400167","LAC",8,1706
"Matt Bonner","41400162","SAS",8,317
"Matthew Dellavedova","41400211","CLE",8,1124
"Mike Dunleavy","41400123","CHI",8,1781
"Nicolas Batum","41400174","POR",8,2530
"Nikola Mirotic","41400214","CHI",8,1106
"Otto Porter Jr.","41400206","WAS",8,2060
"Shelvin Mack","41400101","ATL",8,231
"Terrence Jones","41400151","HOU",8,2019
"Tony Allen","41400171","MEM",8,1521
"Trevor Ariza","41400155","HOU",8,2250
"Tristan Thompson","41400301","CLE",8,2531
"Tyler Hansbrough","41400132","TOR",8,744
"Aaron Brooks","41400126","CHI",7,1007
"Al Horford","41400201","ATL",7,1818
"Amar'e Stoudemire","41400151","DAL",7,947
"Amar'e Stoudemire","41400152","DAL",7,933
"Austin Rivers","41400164","LAC",7,1026
"CJ McCollum","41400175","POR",7,2310
"Damian Lillard","41400174","POR",7,2333
"DeMarre Carroll","41400101","ATL",7,2009
"Festus Ezeli","41400312","GSW",7,697
"Harrison Barnes","41400224","GSW",7,1985
"Harrison Barnes","41400225","GSW",7,1962
"Iman Shumpert","41400214","CLE",7,1934
"Jamal Crawford","41400164","LAC",7,1721
"Jared Sullinger","41400114","BOS",7,1673
"Jarrett Jack","41400106","BKN",7,1647
"John Jenkins","41400302","ATL",7,293
"Kevin Seraphin","41400132","WAS",7,617
"Kyle Korver","41400204","ATL",7,2135
"Kyrie Irving","41400214","CLE",7,2442
"LeBron James","41400114","CLE",7,2782
"LeBron James","41400403","CLE",7,2760
"Marreese Speights","41400142","GSW",7,754
"Matt Barnes","41400236","LAC",7,1882
"Matt Bonner","41400165","SAS",7,219
"Michael Carter-Williams","41400125","MIL",7,2260
"Mike Muscala","41400302","ATL",7,293
"Nazr Mohammed","41400212","CHI",7,276
"Nikola Mirotic","41400212","CHI",7,423
"O.J. Mayo","41400123","MIL",7,1869
"Patty Mills","41400163","SAS",7,879
"Paul Pierce","41400132","WAS",7,1642
"Pero Antic","41400105","ATL",7,1068
"Pero Antic","41400204","ATL",7,872
"Pero Antic","41400205","ATL",7,416
"Ramon Sessions","41400205","WAS",7,1018
"Shaun Livingston","41400142","GSW",7,769
"Timofey Mozgov","41400214","CLE",7,2335
"Timofey Mozgov","41400303","CLE",7,1350
"Tony Allen","41400172","MEM",7,2179
"Tony Parker","41400162","SAS",7,1789
"Trevor Ariza","41400151","HOU",7,2278
"Vince Carter","41400175","MEM",7,1293
"Aaron Brooks","41400121","CHI",6,1167
"Alan Anderson","41400106","BKN",6,1319
"Amar'e Stoudemire","41400153","DAL",6,854
"Andre Iguodala","41400403","GSW",6,2178
"Blake Griffin","41400162","LAC",6,2804
"Bojan Bogdanovic","41400103","BKN",6,2036
"Charlie Villanueva","41400152","DAL",6,527
"Chris Paul","41400164","LAC",6,2293
"Chris Paul","41400165","LAC",6,2452
"Chris Paul","41400167","LAC",6,2220
"Corey Brewer","41400152","HOU",6,1732
"Courtney Lee","41400223","MEM",6,1901
"Dwight Howard","41400155","HOU",6,2311
"Garrett Temple","41400203","WAS",6,526
"Gigi Datome","41400114","BOS",6,213
"James Johnson","41400134","TOR",6,287
"Jason Terry","41400155","HOU",6,1477
"Jeff Teague","41400204","ATL",6,1948
"Jerryd Bayless","41400124","MIL",6,1512
"Joakim Noah","41400121","CHI",6,2108
"John Wall","41400131","WAS",6,2620
"Josh Smith","41400235","HOU",6,1342
"JR Smith","41400303","CLE",6,2283
"LaMarcus Aldridge","41400174","POR",6,2390
"Leandro Barbosa","41400226","GSW",6,269
"Matt Barnes","41400233","LAC",6,1778
"Mike Conley","41400172","MEM",6,1757
"Mike Miller","41400405","CLE",6,817
"Otto Porter Jr.","41400205","WAS",6,1992
"Paul Pierce","41400131","WAS",6,2192
"Shaun Livingston","41400226","GSW",6,1199
"Terrence Jones","41400232","HOU",6,1615
"Timofey Mozgov","41400212","CLE",6,1077
"Tony Allen","41400173","MEM",6,1440
"Trevor Ariza","41400237","HOU",6,2606
"Dante Cunningham","41400144","NOP",5,1536
"Dennis Schroder","41400205","ATL",5,1482
"Derrick Rose","41400215","CHI",5,2550
"Devin Harris","41400155","DAL",5,1607
"Draymond Green","41400225","GSW",5,1888
"Drew Gooden","41400206","WAS",5,1147
"Festus Ezeli","41400406","GSW",5,656
"Glen Davis","41400162","LAC",5,647
"Glen Davis","41400234","LAC",5,418
"Greg Stiemsma","41400134","TOR",5,118
"Harrison Barnes","41400144","GSW",5,2125
"Harrison Barnes","41400402","GSW",5,2473
"Isaiah Thomas","41400111","BOS",5,1894
"Jeff Teague","41400103","ATL",5,1795
"John Jenkins","41400203","ATL",5,52
"JR Smith","41400114","CLE",5,938
"Khris Middleton","41400125","MIL",5,2265
"Klay Thompson","41400223","GSW",5,2203
"Klay Thompson","41400401","GSW",5,2326
"Kyrie Irving","41400401","CLE",5,2618
"Leandro Barbosa","41400144","GSW",5,645
"Leandro Barbosa","41400401","GSW",5,542
"LeBron James","41400214","CLE",5,2589
"Manu Ginobili","41400165","SAS",5,1107
"Marc Gasol","41400173","MEM",5,2312
"Marco Belinelli","41400161","SAS",5,1125
"Marco Belinelli","41400167","SAS",5,1094
"Marreese Speights","41400401","GSW",5,512
"Matt Barnes","41400164","LAC",5,1404
"Mike Dunleavy","41400125","CHI",5,1261
"Mike Scott","41400104","ATL",5,685
"Patty Mills","41400162","SAS",5,1145
"Paul Millsap","41400206","ATL",5,2411
"Paul Pierce","41400205","WAS",5,2112
"Ramon Sessions","41400133","WAS",5,655
"Shawn Marion","41400303","CLE",5,232
"Taj Gibson","41400121","CHI",5,1477
"Tony Snell","41400212","CHI",5,830
"Tony Snell","41400216","CHI",5,326
"Trevor Ariza","41400314","HOU",5,2428
"Zach Randolph","41400172","MEM",5,1978
"Al Horford","41400303","ATL",4,1147
"Alonzo Gee","41400171","POR",4,182
"Andre Iguodala","41400224","GSW",4,1456
"Andrew Bogut","41400142","GSW",4,1958
"Andrew Bogut","41400225","GSW",4,1415
"Austin Rivers","41400162","LAC",4,682
"Bradley Beal","41400132","WAS",4,2524
"Corey Brewer","41400155","HOU",4,1351
"Dahntay Jones","41400234","LAC",4,336
"Danny Green","41400167","SAS",4,2094
"David Lee","41400224","GSW",4,878
"David Lee","41400313","GSW",4,278
"David Lee","41400314","GSW",4,201
"David Lee","41400404","GSW",4,929
"Dennis Schroder","41400204","ATL",4,1755
"Devin Harris","41400151","DAL",4,595
"Draymond Green","41400315","GSW",4,2044
"Drew Gooden","41400131","WAS",4,1386
"Dwight Howard","41400312","HOU",4,2405
"Ekpe Udoh","41400234","LAC",4,307
"Isaiah Thomas","41400114","BOS",4,2197
"James Jones","41400211","CLE",4,482
"James Jones","41400406","CLE",4,1644
"Jarrett Jack","41400105","BKN",4,1900
"Jason Terry","41400232","HOU",4,1685
"Joakim Noah","41400123","CHI",4,2743
"Joakim Noah","41400215","CHI",4,2453
"Joel Freeland","41400171","POR",4,182
"Jon Leuer","41400224","MEM",4,180
"Jordan Adams","41400225","MEM",4,351
"Josh Smith","41400155","HOU",4,1347
"Kawhi Leonard","41400162","SAS",4,2341
"Kendrick Perkins","41400304","CLE",4,326
"Kevin Seraphin","41400201","WAS",4,560
"Lester Hudson","41400234","LAC",4,321
"Marc Gasol","41400175","MEM",4,2255
"Marcin Gortat","41400133","WAS",4,2515
"Marreese Speights","41400402","GSW",4,311
"Matthew Dellavedova","41400114","CLE",4,872
"Mike Dunleavy","41400122","CHI",4,2004
